country,adm0,Province,adm1,lon,lat,continent,surv_qual,logpop,temp_max,temp_min,temp_mean,precip_max,precip_min,precip_mean
Afghanistan,AFG,Wardak,AFG.33_1,68.28417047,34.3171529,Asia,0,5.84381383,22.9166124,-17.31201461,2.802298896,82.66560788,0.635114746,33.92011435
Afghanistan,AFG,Zabul,AFG.34_1,67.10499801,32.23606865,Asia,0,5.681415274,33.07177919,-11.74533423,10.66322248,73.75732954,0.227089965,21.90891132
United Arab Emirates,ARE,Abu Dhabi,ARE.1_1,54.04466555,23.66198283,Asia,0,6.493879636,40.02415332,13.26853783,26.64634557,27.00933584,0.009628831,5.595704538
United Arab Emirates,ARE,Ajman,ARE.2_1,55.73223715,25.22620745,Asia,0,5.620077889,37.99551724,12.65103448,25.32327586,30.30689655,0.155172414,8.875574713
United Arab Emirates,ARE,Dubai,ARE.3_1,55.39722376,24.94265495,Asia,0,6.518419509,39.44747948,13.31623681,26.38185815,33.69656116,0.017389605,7.507620164
United Arab Emirates,ARE,Fujairah,ARE.4_1,56.20352866,25.35415286,Asia,0,5.471527731,37.59950471,12.38652798,24.99301634,39.33382863,0.095591877,10.85442463
United Arab Emirates,ARE,Ras Al-Khaimah,ARE.5_1,56.04359745,25.46292421,Asia,0,5.6393908,37.59772654,12.32026897,24.95899776,38.96829971,0.171950048,11.177607
United Arab Emirates,ARE,Sharjah,ARE.6_1,55.814988,25.1704536,Asia,0,6.292691051,38.37274977,12.95137643,25.6620631,32.17259511,0.028147232,8.715047943
United Arab Emirates,ARE,Umm al-Qaywayn,ARE.7_1,55.74216092,25.48700126,Asia,0,5.011477713,38.46767241,13.3106681,25.88917026,29.94612069,0,9.51643319
Armenia,ARM,Aragatsotn,ARM.1_1,44.14147684,40.4402596,Asia,0,5.125384575,24.63211778,-12.44396376,6.09407701,83.35152888,21.17916195,39.93654209
Armenia,ARM,Ararat,ARM.2_1,44.78730075,39.96320875,Asia,0,5.412650977,28.4705987,-9.158269117,9.65616479,63.4235329,17.8414345,30.37477771
Armenia,ARM,Armavir,ARM.3_1,44.0268962,40.1446446,Asia,0,5.453903536,32.18849066,-8.483543665,11.8524735,53.58455326,13.86067643,26.27326266
Armenia,ARM,Erevan,ARM.4_1,44.53576185,40.17856954,Asia,0,6.04373245,30.55163551,-7.975934579,11.28785047,60.35046729,17.07476636,28.56658879
Armenia,ARM,Gegharkunik,ARM.5_1,45.34278678,40.30673032,Asia,0,5.330440648,21.70690227,-10.88398826,5.411457004,91.94807349,21.02028579,45.04166667
Armenia,ARM,Kotayk,ARM.6_1,44.70493506,40.40804377,Asia,0,5.298427594,22.71253324,-11.36871676,5.671908245,88.58477394,20.33843085,42.13225842
Armenia,ARM,Lori,ARM.7_1,44.49234796,40.98175857,Asia,0,5.351632192,23.0142909,-10.15280552,6.430742691,105.4694026,20.91265662,50.89122934
Armenia,ARM,Shirak,ARM.8_1,43.86986835,40.82721792,Asia,0,5.387533908,22.54229008,-14.47932388,4.031483097,96.33544166,23.22748092,47.66206834
Armenia,ARM,Syunik,ARM.9_1,46.17348186,39.34615376,Asia,0,5.099915892,24.74690226,-9.372438267,7.687231998,86.03563507,22.72941003,41.86959683
Armenia,ARM,Tavush,ARM.10_1,45.12972425,40.90995349,Asia,0,5.053204294,25.49891753,-6.793376289,9.352770619,95.13659794,18.62860825,46.84737973
Armenia,ARM,Vayots Dzor,ARM.11_1,45.45836629,39.77251784,Asia,0,4.688605241,24.01902857,-10.68705714,6.665985714,79.73371429,20.544,38.55178571
American Samoa,ASM,Eastern,ASM.1_1,189.3406878,-14.27498448,Oceania,0,4.923988537,29.90253165,22.92151899,26.41202532,401.6075949,204.0886076,321.7267932
American Samoa,ASM,Manu'a,ASM.2_1,190.4961876,-14.22844895,Oceania,0,3.397533869,29.12077922,22.02857143,25.57467532,532.3116883,298.4155844,437.1850649
American Samoa,ASM,Unorganized,ASM.3_1,189.01517,-11.16724894,Oceania,0,1.728527088,30.7,24.25,27.475,457,173.75,284.4791667
American Samoa,ASM,Western,ASM.4_1,189.2312403,-14.32384488,Oceania,0,5.039945389,29.85697674,22.86046512,26.35872093,401.4651163,199.2209302,322.5968992
Australia,AUS,Ashmore and Cartier Islands,AUS.1_1,123.0796307,-12.26650447,Oceania,0,#NAME?,NA,NA,NA,NA,NA,NA
Australia,AUS,Australian Capital Territory,AUS.2_1,149.0024863,-35.4888065,Oceania,0,5.62007336,25.76273347,-1.731811444,12.01546101,91.87429588,58.62318411,73.61784761
Australia,AUS,Coral Sea Islands Territory,AUS.3_1,152.3983656,-20.40581783,Oceania,0,#NAME?,NA,NA,NA,NA,NA,NA
Australia,AUS,Jervis Bay Territory,AUS.4_1,150.6905223,-35.1524736,Oceania,0,3.524645755,24.61473684,7.88,16.24736842,171.1578947,82.37894737,118.0973684
Australia,AUS,New South Wales,AUS.5_1,147.0085368,-32.16565906,Oceania,0,6.903864663,31.73201569,3.293454489,17.51273509,66.23329345,35.67828567,47.87612
Australia,AUS,Northern Territory,AUS.6_1,133.3655473,-19.41482735,Oceania,0,5.387182735,37.08765617,9.522385374,23.30502077,127.0230061,4.479211864,46.20325671
