city,AA,AL
Ahmedabad,0.875,
Bangkok,0.845,2.7
Beijing,,1.97
Beirut,,2.36
Guangzhou,,2.8
Hong Kong,0.845,2.8
Jeddah,0.85,
Kuala Lumpur,0.82,2.7
Manila,0.845,2.7
Medina,0.85,
Mumbai,0.875,2.7
Muscat,0.85,
New Delhi,0.875,2.7
Seoul,,1.97
Shanghai,,1.97
Singapore,0.82,2.7
Tokyo,,1.97
