"","Temperature","Mean"
"209",20.9,43.0208333333333
"210",21,43.1458333333333
"211",21.1,43.25
"212",21.2,43.3541666666667
"213",21.3,43.4375
"214",21.4,43.5416666666667
"215",21.5,43.6458333333333
"216",21.6,43.7291666666667
"217",21.7,43.8333333333333
"218",21.8,43.9166666666667
"219",21.9,44
"220",22,44.0833333333333
"221",22.1,44.1666666666667
"222",22.2,44.2291666666667
"223",22.3,44.3125
"224",22.4,44.375
"225",22.5,44.4375
"226",22.6,44.5
"227",22.7,44.5625
"228",22.8,44.625
"229",22.9,44.6666666666667
"230",23,44.7291666666667
"231",23.1,44.7708333333333
"232",23.2,44.8125
"233",23.3,44.8541666666667
"234",23.4,44.875
"235",23.5,44.9166666666667
"236",23.6,44.9375
"237",23.7,44.9583333333333
"238",23.8,44.9791666666667
"239",23.9,45
"240",24,45
"241",24.1,45.0208333333333
"242",24.2,45.0208333333333
"243",24.3,45.0208333333333
"244",24.4,45.0208333333333
"245",24.5,45.0208333333333
"246",24.6,45
"247",24.7,45
"248",24.8,44.9791666666667
"249",24.9,44.9583333333333
"250",25,44.9375
"251",25.1,44.9166666666667
"252",25.2,44.8958333333333
"253",25.3,44.875
"254",25.4,44.8333333333333
"255",25.5,44.7916666666667
"256",25.6,44.7708333333333
"257",25.7,44.7291666666667
"258",25.8,44.6875
"259",25.9,44.6458333333333
"260",26,44.6041666666667
"261",26.1,44.5416666666667
"262",26.2,44.5
"263",26.3,44.4375
"264",26.4,44.3958333333333
"265",26.5,44.3333333333333
"266",26.6,44.2708333333333
"267",26.7,44.2083333333333
"268",26.8,44.1666666666667
"269",26.9,44.0833333333333
"270",27,44.0208333333333
"271",27.1,43.9583333333333
"272",27.2,43.8958333333333
"273",27.3,43.8333333333333
"274",27.4,43.75
"275",27.5,43.6875
"276",27.6,43.6041666666667
"277",27.7,43.5208333333333
"278",27.8,43.4583333333333
"279",27.9,43.375
"280",28,43.2916666666667
"281",28.1,43.2083333333333
"282",28.2,43.125
"283",28.3,43.0416666666667
"284",28.4,42.9583333333333
"285",28.5,42.875
"286",28.6,42.7916666666667
"287",28.7,42.7083333333333
"288",28.8,42.6041666666667
"289",28.9,42.5208333333333
"290",29,42.4166666666667
"291",29.1,42.3333333333333
"292",29.2,42.2291666666667
"293",29.3,42.125
"294",29.4,42.0416666666667
"295",29.5,41.9375
"296",29.6,41.8333333333333
"297",29.7,41.7291666666667
"298",29.8,41.625
"299",29.9,41.5208333333333
"300",30,41.4166666666667
"301",30.1,41.2916666666667
"302",30.2,41.1875
"303",30.3,41.0833333333333
"304",30.4,40.9583333333333
"305",30.5,40.8541666666667
"306",30.6,40.7291666666667
"307",30.7,40.6041666666667
"308",30.8,40.4791666666667
"309",30.9,40.3541666666667
"310",31,40.2291666666667
"311",31.1,40.1041666666667
"312",31.2,39.9791666666667
"313",31.3,39.8333333333333
"314",31.4,39.7083333333333
"315",31.5,39.5625
"316",31.6,39.4166666666667
"317",31.7,39.2708333333333
"318",31.8,39.125
"319",31.9,38.9791666666667
"320",32,38.8125
"321",32.1,38.6666666666667
"322",32.2,38.5
"323",32.3,38.3333333333333
"324",32.4,38.1875
"325",32.5,38
"326",32.6,37.8333333333333
"327",32.7,37.6666666666667
"328",32.8,37.4791666666667
"329",32.9,37.2916666666667
"330",33,37.1041666666667
"331",33.1,36.9166666666667
"332",33.2,36.7291666666667
"333",33.3,36.5208333333333
"334",33.4,36.3125
"335",33.5,36.1041666666667
"336",33.6,35.8958333333333
"337",33.7,35.6666666666667
"338",33.8,35.4583333333333
"339",33.9,35.2291666666667
"340",34,35
"341",34.1,34.75
"342",34.2,34.5
"343",34.3,34.2708333333333
"344",34.4,34
"345",34.5,33.75
"346",34.6,33.4791666666667
"347",34.7,33.2083333333333
"348",34.8,32.9375
"349",34.9,32.6458333333333
"350",35,32.3541666666667
"351",35.1,32.0625
"352",35.2,31.7708333333333
"353",35.3,31.4583333333333
"354",35.4,31.1458333333333
"355",35.5,30.8125
"356",35.6,30.5
"357",35.7,30.1666666666667
"358",35.8,29.8125
"359",35.9,29.4583333333333
"360",36,29.1041666666667
"361",36.1,28.75
"362",36.2,28.375
"363",36.3,28
"364",36.4,27.625
"365",36.5,27.2291666666667
"366",36.6,26.8333333333333
"367",36.7,26.4166666666667
"368",36.8,26
"369",36.9,25.5625
"370",37,25.125
"371",37.1,24.6875
"372",37.2,24.2291666666667
"373",37.3,23.7708333333333
"374",37.4,23.2916666666667
"375",37.5,22.7916666666667
"376",37.6,22.2916666666667
"377",37.7,21.7916666666667
"378",37.8,21.2708333333333
"379",37.9,20.7291666666667
"380",38,20.1875
"381",38.1,19.6458333333333
"382",38.2,19.0833333333333
"383",38.3,18.5
"384",38.4,17.9166666666667
"385",38.5,17.3333333333333
"386",38.6,16.75
"387",38.7,16.1458333333333
"388",38.8,15.5416666666667
"389",38.9,14.9375
"390",39,14.3333333333333
"391",39.1,13.7291666666667
"392",39.2,13.125
"393",39.3,12.5416666666667
"394",39.4,11.9375
"395",39.5,11.3333333333333
"396",39.6,10.7291666666667
"397",39.7,10.125
"398",39.8,9.52083333333333
"399",39.9,8.91666666666667
"400",40,8.29166666666667
