"","Temperature","Mean"
"206",20.6,16.1041666666667
"207",20.7,16.1041666666667
"208",20.8,16.1041666666667
"209",20.9,16.1041666666667
"210",21,16.125
"211",21.1,16.125
"212",21.2,16.125
"213",21.3,16.125
"214",21.4,16.1458333333333
"215",21.5,16.1458333333333
"216",21.6,16.1458333333333
"217",21.7,16.1458333333333
"218",21.8,16.1458333333333
"219",21.9,16.1458333333333
"220",22,16.1666666666667
"221",22.1,16.1666666666667
"222",22.2,16.1666666666667
"223",22.3,16.1666666666667
"224",22.4,16.1666666666667
"225",22.5,16.1666666666667
"226",22.6,16.1666666666667
"227",22.7,16.1666666666667
"228",22.8,16.1666666666667
"229",22.9,16.1666666666667
"230",23,16.1666666666667
"231",23.1,16.1666666666667
"232",23.2,16.1666666666667
"233",23.3,16.1666666666667
"234",23.4,16.1666666666667
"235",23.5,16.1666666666667
"236",23.6,16.1666666666667
"237",23.7,16.1666666666667
"238",23.8,16.1666666666667
"239",23.9,16.1666666666667
"240",24,16.1666666666667
"241",24.1,16.1666666666667
"242",24.2,16.1666666666667
"243",24.3,16.1458333333333
"244",24.4,16.1458333333333
"245",24.5,16.1458333333333
"246",24.6,16.1458333333333
"247",24.7,16.1458333333333
"248",24.8,16.1458333333333
"249",24.9,16.125
"250",25,16.125
"251",25.1,16.125
"252",25.2,16.125
"253",25.3,16.1041666666667
"254",25.4,16.1041666666667
"255",25.5,16.1041666666667
"256",25.6,16.1041666666667
"257",25.7,16.0833333333333
"258",25.8,16.0833333333333
"259",25.9,16.0625
"260",26,16.0625
"261",26.1,16.0625
"262",26.2,16.0416666666667
"263",26.3,16.0416666666667
"264",26.4,16.0208333333333
"265",26.5,16.0208333333333
"266",26.6,16.0208333333333
"267",26.7,16
"268",26.8,16
"269",26.9,15.9791666666667
"270",27,15.9583333333333
"271",27.1,15.9583333333333
"272",27.2,15.9375
"273",27.3,15.9375
"274",27.4,15.9166666666667
"275",27.5,15.8958333333333
"276",27.6,15.8958333333333
"277",27.7,15.875
"278",27.8,15.8541666666667
"279",27.9,15.8333333333333
"280",28,15.8333333333333
"281",28.1,15.8125
"282",28.2,15.7916666666667
"283",28.3,15.7708333333333
"284",28.4,15.75
"285",28.5,15.7291666666667
"286",28.6,15.7083333333333
"287",28.7,15.6875
"288",28.8,15.6666666666667
"289",28.9,15.6458333333333
"290",29,15.625
"291",29.1,15.6041666666667
"292",29.2,15.5833333333333
"293",29.3,15.5625
"294",29.4,15.5416666666667
"295",29.5,15.5
"296",29.6,15.4791666666667
"297",29.7,15.4583333333333
"298",29.8,15.4375
"299",29.9,15.3958333333333
"300",30,15.375
"301",30.1,15.3333333333333
"302",30.2,15.3125
"303",30.3,15.2708333333333
"304",30.4,15.25
"305",30.5,15.2083333333333
"306",30.6,15.1875
"307",30.7,15.1458333333333
"308",30.8,15.125
"309",30.9,15.0833333333333
"310",31,15.0416666666667
"311",31.1,15
"312",31.2,14.9791666666667
"313",31.3,14.9375
"314",31.4,14.8958333333333
"315",31.5,14.8541666666667
"316",31.6,14.8125
"317",31.7,14.7708333333333
"318",31.8,14.7291666666667
"319",31.9,14.6875
"320",32,14.6458333333333
"321",32.1,14.6041666666667
"322",32.2,14.5625
"323",32.3,14.5208333333333
"324",32.4,14.4791666666667
"325",32.5,14.4166666666667
"326",32.6,14.375
"327",32.7,14.3333333333333
"328",32.8,14.2916666666667
"329",32.9,14.2291666666667
"330",33,14.1875
"331",33.1,14.125
"332",33.2,14.0833333333333
"333",33.3,14.0208333333333
"334",33.4,13.9791666666667
"335",33.5,13.9166666666667
"336",33.6,13.875
"337",33.7,13.8125
"338",33.8,13.75
"339",33.9,13.7083333333333
"340",34,13.6458333333333
"341",34.1,13.5833333333333
"342",34.2,13.5208333333333
"343",34.3,13.4583333333333
"344",34.4,13.4166666666667
"345",34.5,13.3541666666667
"346",34.6,13.2916666666667
"347",34.7,13.2291666666667
"348",34.8,13.1666666666667
"349",34.9,13.0833333333333
"350",35,13.0208333333333
"351",35.1,12.9583333333333
"352",35.2,12.8958333333333
"353",35.3,12.8333333333333
"354",35.4,12.75
"355",35.5,12.6875
"356",35.6,12.6041666666667
"357",35.7,12.5416666666667
"358",35.8,12.4583333333333
"359",35.9,12.3958333333333
"360",36,12.3125
"361",36.1,12.25
"362",36.2,12.1666666666667
"363",36.3,12.0833333333333
"364",36.4,12
"365",36.5,11.9375
"366",36.6,11.8541666666667
"367",36.7,11.7708333333333
"368",36.8,11.6875
"369",36.9,11.6041666666667
"370",37,11.5
"371",37.1,11.4166666666667
"372",37.2,11.3333333333333
"373",37.3,11.25
"374",37.4,11.1458333333333
"375",37.5,11.0625
"376",37.6,10.9583333333333
"377",37.7,10.875
"378",37.8,10.7708333333333
"379",37.9,10.6666666666667
"380",38,10.5625
"381",38.1,10.4791666666667
"382",38.2,10.375
"383",38.3,10.2708333333333
"384",38.4,10.1458333333333
"385",38.5,10.0416666666667
"386",38.6,9.9375
"387",38.7,9.83333333333333
"388",38.8,9.70833333333333
"389",38.9,9.60416666666667
"390",39,9.47916666666667
"391",39.1,9.35416666666667
"392",39.2,9.22916666666667
"393",39.3,9.10416666666667
"394",39.4,8.97916666666667
"395",39.5,8.85416666666667
"396",39.6,8.72916666666667
"397",39.7,8.58333333333333
"398",39.8,8.45833333333333
"399",39.9,8.3125
"400",40,8.1875
